,Item_ID,Weight,FatContent,Visibility,Category,Max_Price,Store_ID,Store_Establishment_Year,Store_Size,Store_Location_Type,Store_Type,Predicted_Sales
1380,FDT38,18.7,Low_Fat,0.057489563,Dairy,84.7566,OUT013,1987,High,Tier 3,Supermarket Type1,1240.774389212963
1381,FDZ20,16.1,Low_Fat,0.034446714,Fruits and Vegetables,253.3356,OUT018,2009,Medium,Tier 3,Supermarket Type2,3821.4772342790675
1382,FDJ53,10.5,Low_Fat,0.071198613,Frozen Foods,120.6098,OUT013,1987,High,Tier 3,Supermarket Type1,1925.3299829247826
1383,FDX13,7.725,Low_Fat,0.047857249,Canned,249.2092,OUT049,1999,Medium,Tier 1,Supermarket Type1,4162.886190605479
1384,FDP58,11.1,Low_Fat,0.135116764,Snack Foods,220.4482,OUT035,2004,Small,Tier 2,Supermarket Type1,3610.9040842058102
1385,NCK31,12.35,Low_Fat,0.047357161,Others,51.9666,OUT019,1985,Small,Tier 1,Grocery Store,-1129.0438421196577
1386,FDA35,14.85,Regular,0.054056872,Baking Goods,123.2072,OUT018,2009,Medium,Tier 3,Supermarket Type2,1676.962114029444
1387,FDV37,13.0,Regular,0.083854075,Canned,198.7426,OUT018,2009,Medium,Tier 3,Supermarket Type2,2916.656634221282
1388,NCO07,12.35,Low_Fat,0.009728926,Others,213.656,OUT027,1985,Medium,Tier 3,Supermarket Type3,4837.8524997799195
1390,FDZ59,6.63,Regular,0.104001913,Baking Goods,168.45,OUT035,2004,Small,Tier 2,Supermarket Type1,2822.375448856581
1392,FDQ28,14.0,Regular,0.060415636,Frozen Foods,153.1656,OUT035,2004,Small,Tier 2,Supermarket Type1,2526.79194029676
1394,FDQ36,7.855,Regular,0.161413005,Baking Goods,35.2848,OUT013,1987,High,Tier 3,Supermarket Type1,557.1300969407803
1395,FDD34,7.945,Low_Fat,0.01594096,Snack Foods,163.121,OUT018,2009,Medium,Tier 3,Supermarket Type2,2367.6974748482753
1397,FDV31,9.8,Low_Fat,0.106697143,Fruits and Vegetables,175.637,OUT035,2004,Small,Tier 2,Supermarket Type1,2964.251454934585
1398,FDR04,7.075,Low_Fat,0.022562708,Frozen Foods,95.9068,OUT035,2004,Small,Tier 2,Supermarket Type1,1655.5010604716972
1399,FDR14,11.65,Low_Fat,0.174319632,Dairy,55.5298,OUT049,1999,Medium,Tier 1,Supermarket Type1,863.423218657118
1401,FDE39,12.35,Low_Fat,0.063266852,Dairy,120.6782,OUT019,1985,Small,Tier 1,Grocery Store,-50.60522860927085
1402,FDP57,17.5,Low_Fat,0.052525654000000005,Snack Foods,104.399,OUT049,1999,Medium,Tier 1,Supermarket Type1,1739.3746628818526
1403,FDE57,9.6,Low_Fat,0.036285125,Fruits and Vegetables,141.2154,OUT046,1997,Small,Tier 1,Supermarket Type1,2334.519088504043
1404,NCN18,8.895,Low_Fat,0.12471467,Household,111.4544,OUT046,1997,Small,Tier 1,Supermarket Type1,1725.0114171542045
1405,NCQ05,11.395,Low_Fat,0.021694101,Health and Hygiene,150.0708,OUT018,2009,Medium,Tier 3,Supermarket Type2,2165.4566085910183
1406,FDW47,15.0,Low_Fat,0.046366458,Breads,119.9414,OUT035,2004,Small,Tier 2,Supermarket Type1,2016.3080210537792
1407,FDV46,18.2,Low_Fat,0.012605492,Snack Foods,137.81799999999998,OUT035,2004,Small,Tier 2,Supermarket Type1,2282.244437284483
1409,FDE09,8.775,Low_Fat,0.021691386,Fruits and Vegetables,110.5228,OUT018,2009,Medium,Tier 3,Supermarket Type2,1569.1194392603184
1410,NCU06,12.35,Low_Fat,0.074046742,Household,229.801,OUT027,1985,Medium,Tier 3,Supermarket Type3,5084.0696430349335
1413,DRI51,17.25,Low_Fat,0.042206477,Dairy,170.2764,OUT013,1987,High,Tier 3,Supermarket Type1,2634.4553681582793
1414,NCX54,9.195,Low_Fat,0.048019877,Household,104.2622,OUT013,1987,High,Tier 3,Supermarket Type1,1651.6509215268543
1415,DRE01,10.1,Low_Fat,0.167016095,Soft Drinks,241.5512,OUT013,1987,High,Tier 3,Supermarket Type1,3809.3303448263205
1417,FDU50,5.75,Regular,0.075155997,Dairy,114.1176,OUT035,2004,Small,Tier 2,Supermarket Type1,1881.3074380763856
1418,FDG40,13.65,Low_Fat,0.039816816,Frozen Foods,34.1558,OUT035,2004,Small,Tier 2,Supermarket Type1,612.6247231930793
1419,FDW10,21.2,Low_Fat,0.070964186,Snack Foods,175.637,OUT018,2009,Medium,Tier 3,Supermarket Type2,2466.3372982815763
1420,FDX51,9.5,Regular,0.022040367,Meat,194.1452,OUT013,1987,High,Tier 3,Supermarket Type1,3195.6707686143645
1422,FDP21,7.42,Regular,0.025735975,Snack Foods,187.7872,OUT035,2004,Small,Tier 2,Supermarket Type1,3154.914764031143
1424,FDV23,11.0,Low_Fat,0.105748691,Breads,123.1046,OUT013,1987,High,Tier 3,Supermarket Type1,1980.5523359020135
1425,FDF24,15.5,Regular,0.025370468,Baking Goods,81.1934,OUT046,1997,Small,Tier 1,Supermarket Type1,1287.9667425085772
1426,FDH56,12.35,Regular,0.063508168,Fruits and Vegetables,113.8492,OUT027,1985,Medium,Tier 3,Supermarket Type3,3324.0397504443226
1427,FDB51,6.92,Low_Fat,0.038513862,Dairy,61.5852,OUT049,1999,Medium,Tier 1,Supermarket Type1,1042.8197068077925
1428,FDI58,12.35,Regular,0.070362085,Snack Foods,95.112,OUT027,1985,Medium,Tier 3,Supermarket Type3,2962.4934891862813
1429,FDR20,20.0,Regular,0.028100349,Fruits and Vegetables,46.9744,OUT013,1987,High,Tier 3,Supermarket Type1,774.3465744810856
1430,FDC51,10.895,Regular,0.009661057,Dairy,122.973,OUT018,2009,Medium,Tier 3,Supermarket Type2,1633.1121355005807
1431,FDB16,12.35,Low_Fat,0.044708228,Dairy,86.2198,OUT027,1985,Medium,Tier 3,Supermarket Type3,2746.4752136254538
1432,FDE40,15.6,Regular,0.099297902,Dairy,60.5194,OUT049,1999,Medium,Tier 1,Supermarket Type1,954.0468828216408
1433,NCM17,7.93,Low_Fat,0.071122419,Health and Hygiene,43.7086,OUT035,2004,Small,Tier 2,Supermarket Type1,837.4196433720317
1434,FDU56,16.85,Low_Fat,0.0,Fruits and Vegetables,185.3266,OUT035,2004,Small,Tier 2,Supermarket Type1,3118.2269033958855
1435,FDS32,12.35,Regular,0.051920175,Fruits and Vegetables,140.9838,OUT019,1985,Small,Tier 1,Grocery Store,420.5463014486086
1436,FDX02,16.0,Low_Fat,0.057148803,Dairy,224.3404,OUT049,1999,Medium,Tier 1,Supermarket Type1,3603.5895619596713
1437,FDT39,12.35,Regular,0.009820129,Meat,152.7366,OUT027,1985,Medium,Tier 3,Supermarket Type3,3953.1282876900777
1439,NCI42,12.35,Low_Fat,0.018148732,Household,210.1954,OUT019,1985,Small,Tier 1,Grocery Store,1444.144760389494
1440,DRL23,18.35,Low_Fat,0.015304311,Hard Drinks,105.7938,OUT046,1997,Small,Tier 1,Supermarket Type1,1609.0000599456607
1441,FDA10,20.35,Low_Fat,0.14181601300000002,Snack Foods,122.2072,OUT046,1997,Small,Tier 1,Supermarket Type1,1864.0277221785627
1442,FDA11,7.75,Low_Fat,0.04320284,Baking Goods,95.6436,OUT013,1987,High,Tier 3,Supermarket Type1,1571.1346038893007
1443,NCM06,7.475,Low_Fat,0.075727897,Household,154.7656,OUT046,1997,Small,Tier 1,Supermarket Type1,2451.0328208807878
1444,NCT05,10.895,Low_Fat,0.020947887,Health and Hygiene,257.5672,OUT035,2004,Small,Tier 2,Supermarket Type1,4286.508389855646
1446,NCY06,15.25,Low_Fat,0.06127993,Household,129.6968,OUT049,1999,Medium,Tier 1,Supermarket Type1,2114.739098124128
1447,FDY56,16.35,Regular,0.062399603,Fruits and Vegetables,224.7062,OUT035,2004,Small,Tier 2,Supermarket Type1,3737.6113483644785
1448,FDL02,20.0,Regular,0.104063695,Canned,104.5622,OUT035,2004,Small,Tier 2,Supermarket Type1,1731.702538080246
1449,NCI06,11.3,Low_Fat,0.047708667,Household,178.366,OUT035,2004,Small,Tier 2,Supermarket Type1,2922.003553479588
1452,FDP36,10.395,Regular,0.091172403,Baking Goods,48.6008,OUT046,1997,Small,Tier 1,Supermarket Type1,768.5471791082236
1453,FDK21,12.35,Low_Fat,0.009963834,Snack Foods,250.8408,OUT027,1985,Medium,Tier 3,Supermarket Type3,5491.100478499046
1455,NCK54,12.35,Low_Fat,0.0,Household,117.515,OUT019,1985,Small,Tier 1,Grocery Store,-43.09192634133251
1456,FDY09,15.6,Low_Fat,0.025302804,Snack Foods,176.8054,OUT018,2009,Medium,Tier 3,Supermarket Type2,2537.429515117804
1457,NCW30,5.21,Low_Fat,0.011027014,Household,260.6962,OUT049,1999,Medium,Tier 1,Supermarket Type1,4308.257040156903
1458,NCC55,12.35,Low_Fat,0.0,Household,36.2848,OUT027,1985,Medium,Tier 3,Supermarket Type3,1992.7177956440783
1459,FDE58,18.5,Low_Fat,0.052280828,Snack Foods,117.3124,OUT018,2009,Medium,Tier 3,Supermarket Type2,1549.8907546567334
1460,FDR39,20.35,Low_Fat,0.083729547,Meat,184.4292,OUT013,1987,High,Tier 3,Supermarket Type1,2942.604433352223
1461,FDU28,19.2,Regular,0.094064368,Frozen Foods,187.0214,OUT049,1999,Medium,Tier 1,Supermarket Type1,3034.565506661049
1464,FDG22,17.6,Regular,0.041445492,Snack Foods,35.219,OUT049,1999,Medium,Tier 1,Supermarket Type1,633.2139217737904
1465,FDC34,16.0,Regular,0.17272642600000002,Snack Foods,156.7972,OUT035,2004,Small,Tier 2,Supermarket Type1,2545.399975031686
1466,FDP15,15.2,Low_Fat,0.084284513,Meat,254.933,OUT018,2009,Medium,Tier 3,Supermarket Type2,3814.8437269027727
1468,FDU45,15.6,Regular,0.035499428,Snack Foods,115.7518,OUT035,2004,Small,Tier 2,Supermarket Type1,1939.2128205961335
1469,FDQ04,12.35,Low_Fat,0.084343183,Frozen Foods,39.7796,OUT027,1985,Medium,Tier 3,Supermarket Type3,2043.5637107321172
1470,FDX22,6.785,Regular,0.023068402,Snack Foods,209.7928,OUT018,2009,Medium,Tier 3,Supermarket Type2,3130.1179728873376
1472,NCH43,12.35,Low_Fat,0.070227182,Household,217.1192,OUT027,1985,Medium,Tier 3,Supermarket Type3,4881.082680018936
1473,DRE60,9.395,Low_Fat,0.15933446199999998,Soft Drinks,224.372,OUT046,1997,Small,Tier 1,Supermarket Type1,3524.911925903093
1474,FDD17,12.35,Low_Fat,0.032468955,Frozen Foods,236.1906,OUT027,1985,Medium,Tier 3,Supermarket Type3,5230.318311636058
1476,NCH55,16.35,Low_Fat,0.034643462,Household,127.402,OUT013,1987,High,Tier 3,Supermarket Type1,1985.717140047258
1478,FDA48,12.35,Low_Fat,0.114317778,Baking Goods,221.5114,OUT027,1985,Medium,Tier 3,Supermarket Type3,4982.485032428938
1479,FDY58,12.35,Low_Fat,0.039725274,Snack Foods,228.2694,OUT027,1985,Medium,Tier 3,Supermarket Type3,5115.670606113394
1482,FDH35,18.25,Low_Fat,0.060237241,Starchy Foods,164.9526,OUT035,2004,Small,Tier 2,Supermarket Type1,2652.6015610787654
1484,FDO16,5.48,Low_Fat,0.015095622,Frozen Foods,82.325,OUT013,1987,High,Tier 3,Supermarket Type1,1360.7882579586676
1486,FDU47,12.35,Regular,0.0,Breads,140.3838,OUT027,1985,Medium,Tier 3,Supermarket Type3,3735.21394617658
1488,FDK55,12.35,Low_Fat,0.025636945,Meat,89.1172,OUT027,1985,Medium,Tier 3,Supermarket Type3,2915.7508546608233
1489,FDN08,7.72,Regular,0.088502045,Fruits and Vegetables,116.2466,OUT049,1999,Medium,Tier 1,Supermarket Type1,2039.2034048893602
1491,FDJ12,8.895,Regular,0.039200151,Baking Goods,207.5296,OUT018,2009,Medium,Tier 3,Supermarket Type2,3078.9941260399783
1493,NCN53,5.175,Low_Fat,0.030355463,Health and Hygiene,35.0874,OUT046,1997,Small,Tier 1,Supermarket Type1,627.9662606000202
1496,FDY12,9.8,Regular,0.140584452,Baking Goods,52.3008,OUT035,2004,Small,Tier 2,Supermarket Type1,916.0003136023042
1497,FDU15,13.65,Regular,0.026597059,Meat,36.3532,OUT035,2004,Small,Tier 2,Supermarket Type1,712.7192470249129
1498,FDQ19,7.35,Regular,0.014365128,Fruits and Vegetables,242.8512,OUT046,1997,Small,Tier 1,Supermarket Type1,4001.0814429051916
1500,DRE25,12.35,Low_Fat,0.12830941099999998,Soft Drinks,92.112,OUT019,1985,Small,Tier 1,Grocery Store,-506.46524816901365
1501,FDK57,10.195,Low_Fat,0.080619969,Snack Foods,119.144,OUT018,2009,Medium,Tier 3,Supermarket Type2,1619.74295405657
1503,FDR34,12.35,Regular,0.015887996,Snack Foods,228.6352,OUT027,1985,Medium,Tier 3,Supermarket Type3,5136.3318275771035
1505,FDE35,12.35,Regular,0.07686393,Starchy Foods,60.4904,OUT019,1985,Small,Tier 1,Grocery Store,-992.0629836382686
1506,NCD31,12.1,Low_Fat,0.015431545,Household,162.7526,OUT035,2004,Small,Tier 2,Supermarket Type1,2677.8236065406454
1507,FDJ56,8.985,Low_Fat,0.183368339,Fruits and Vegetables,100.07,OUT035,2004,Small,Tier 2,Supermarket Type1,1721.2677178780013
1508,NCU53,5.485,Low_Fat,0.042751812,Health and Hygiene,164.5842,OUT046,1997,Small,Tier 1,Supermarket Type1,2709.095140810732
1509,FDD39,16.7,Low_Fat,0.070141633,Dairy,214.985,OUT035,2004,Small,Tier 2,Supermarket Type1,3436.342631047458
1510,NCU17,12.35,Low_Fat,0.162626685,Health and Hygiene,103.6674,OUT019,1985,Small,Tier 1,Grocery Store,-254.57986676942528
1511,FDJ20,20.7,Regular,0.100174939,Fruits and Vegetables,123.2388,OUT046,1997,Small,Tier 1,Supermarket Type1,1956.951139662795
1512,NCW41,18.0,Low_Fat,0.015513314,Health and Hygiene,156.9604,OUT018,2009,Medium,Tier 3,Supermarket Type2,2238.1373511183783
1513,FDL52,6.635,Regular,0.046081489,Frozen Foods,38.0506,OUT035,2004,Small,Tier 2,Supermarket Type1,721.8560414050789
1514,FDS39,6.895,Low_Fat,0.022456327,Meat,141.2812,OUT035,2004,Small,Tier 2,Supermarket Type1,2442.224446945863
1520,FDM51,11.8,Regular,0.025926223,Meat,99.9674,OUT046,1997,Small,Tier 1,Supermarket Type1,1646.79104601565
1521,DRM49,6.11,Regular,0.152573001,Soft Drinks,45.1086,OUT018,2009,Medium,Tier 3,Supermarket Type2,381.846592155327
1522,DRF23,4.61,Low_Fat,0.122550245,Hard Drinks,176.1396,OUT013,1987,High,Tier 3,Supermarket Type1,2801.285371933628
1523,DRH01,17.5,Low_Fat,0.097885516,Soft Drinks,172.6738,OUT035,2004,Small,Tier 2,Supermarket Type1,2768.3696677012185
1524,FDH12,12.35,Low_Fat,0.08454227,Baking Goods,107.128,OUT027,1985,Medium,Tier 3,Supermarket Type3,3149.836449012958
1525,FDA28,12.35,Regular,0.083694927,Frozen Foods,124.8362,OUT019,1985,Small,Tier 1,Grocery Store,75.2354748014568
1526,FDW37,19.2,Low_Fat,0.124555719,Canned,90.3488,OUT018,2009,Medium,Tier 3,Supermarket Type2,1109.474662677415
1527,FDF02,16.2,Low_Fat,0.103473165,Canned,103.799,OUT046,1997,Small,Tier 1,Supermarket Type1,1634.3083728932252
1528,DRL37,15.5,Low_Fat,0.053372178,Soft Drinks,43.377,OUT046,1997,Small,Tier 1,Supermarket Type1,610.0845693711644
1529,NCF43,8.51,Low_Fat,0.051945908,Household,141.547,OUT046,1997,Small,Tier 1,Supermarket Type1,2240.7247137790782
1531,FDR34,12.35,Regular,0.027953194,Snack Foods,229.4352,OUT019,1985,Small,Tier 1,Grocery Store,1799.0993439305612
1532,NCK19,9.8,Low_Fat,0.09060629,Others,195.0478,OUT049,1999,Medium,Tier 1,Supermarket Type1,3179.8767654565036
1533,NCD55,14.0,Low_Fat,0.024430294,Household,42.6454,OUT018,2009,Medium,Tier 3,Supermarket Type2,341.6118093578352
1534,FDT27,11.395,Regular,0.069695361,Meat,233.7616,OUT049,1999,Medium,Tier 1,Supermarket Type1,3899.7882625672455
1536,FDA47,10.5,Regular,0.116651733,Baking Goods,162.421,OUT035,2004,Small,Tier 2,Supermarket Type1,2696.376330357789
1537,DRG15,12.35,Low_Fat,0.07636430599999999,Dairy,63.0536,OUT027,1985,Medium,Tier 3,Supermarket Type3,2360.7223331586065
1538,FDE05,10.895,Regular,0.03258625,Frozen Foods,145.6102,OUT018,2009,Medium,Tier 3,Supermarket Type2,2050.3827980840642
1539,FDN46,7.21,Regular,0.144631478,Snack Foods,100.6332,OUT046,1997,Small,Tier 1,Supermarket Type1,1601.793491054631
1540,FDX27,12.35,Regular,0.113564473,Dairy,92.6436,OUT027,1985,Medium,Tier 3,Supermarket Type3,2828.9360037897477
1542,FDU33,7.63,Regular,0.13459766199999998,Snack Foods,44.7402,OUT013,1987,High,Tier 3,Supermarket Type1,716.7051295149749
1543,FDJ16,12.35,Low_Fat,0.114329308,Frozen Foods,59.4246,OUT027,1985,Medium,Tier 3,Supermarket Type3,2348.6900852819335
1544,FDD20,12.35,Low_Fat,0.036268455,Fruits and Vegetables,122.5046,OUT019,1985,Small,Tier 1,Grocery Store,123.12982159270359
1545,FDT36,12.3,Low_Fat,0.111447593,Baking Goods,33.4874,OUT049,1999,Medium,Tier 1,Supermarket Type1,610.0364435173778
1546,DRF15,12.35,Low_Fat,0.03305315,Dairy,152.334,OUT027,1985,Medium,Tier 3,Supermarket Type3,3816.9264009153103
1548,FDC22,12.35,Regular,0.135767734,Snack Foods,191.282,OUT027,1985,Medium,Tier 3,Supermarket Type3,4487.703860089847
1550,FDT13,14.85,Low_Fat,0.018556186,Canned,187.1214,OUT013,1987,High,Tier 3,Supermarket Type1,3033.6612232983007
1552,FDU31,12.35,Regular,0.043756113,Fruits and Vegetables,216.3508,OUT019,1985,Small,Tier 1,Grocery Store,1638.8267893702587
1553,FDW59,12.35,Low_Fat,0.0,Breads,85.4566,OUT027,1985,Medium,Tier 3,Supermarket Type3,2844.099438747816
1554,NCO29,11.15,Low_Fat,0.032256191000000003,Health and Hygiene,165.1526,OUT046,1997,Small,Tier 1,Supermarket Type1,2687.335888501053
1555,FDL15,17.85,Low_Fat,0.046625941,Meat,152.3682,OUT035,2004,Small,Tier 2,Supermarket Type1,2543.9691104648327
1556,FDI41,18.5,Regular,0.06235371400000001,Frozen Foods,145.4418,OUT049,1999,Medium,Tier 1,Supermarket Type1,2380.784066609085
1557,FDQ48,14.3,Regular,0.0,Baking Goods,98.7726,OUT049,1999,Medium,Tier 1,Supermarket Type1,1698.9283400839722
1558,DRI39,13.8,Low_Fat,0.09698132,Dairy,55.593,OUT013,1987,High,Tier 3,Supermarket Type1,785.5555113192959
1559,FDI08,18.2,Regular,0.066241884,Fruits and Vegetables,250.9092,OUT013,1987,High,Tier 3,Supermarket Type1,4058.685905343871
1560,FDC21,14.6,Regular,0.04302561,Fruits and Vegetables,110.0254,OUT049,1999,Medium,Tier 1,Supermarket Type1,1914.0112746267932
1561,FDF58,13.3,Low_Fat,0.009579343,Snack Foods,62.351000000000006,OUT035,2004,Small,Tier 2,Supermarket Type1,1096.9429930338656
1564,NCP18,12.35,Low_Fat,0.050071843,Household,152.4708,OUT019,1985,Small,Tier 1,Grocery Store,501.11313105146473
1565,NCR41,17.85,Low_Fat,0.0,Health and Hygiene,96.8094,OUT013,1987,High,Tier 3,Supermarket Type1,1571.333183820887
1566,FDA27,20.35,Regular,0.030901894,Dairy,254.2672,OUT013,1987,High,Tier 3,Supermarket Type1,3979.3844047166904
1567,FDA43,10.895,Low_Fat,0.064663519,Fruits and Vegetables,194.0794,OUT035,2004,Small,Tier 2,Supermarket Type1,3271.097526920823
1569,NCE55,8.92,Low_Fat,0.0,Household,178.137,OUT018,2009,Medium,Tier 3,Supermarket Type2,2566.9317183857047
1570,DRM49,12.35,Regular,0.15121816,Soft Drinks,45.9086,OUT027,1985,Medium,Tier 3,Supermarket Type3,2090.7448467917366
1571,FDF22,12.35,Low_Fat,0.056555477,Snack Foods,214.2218,OUT027,1985,Medium,Tier 3,Supermarket Type3,4882.671890511952
1572,FDQ15,20.35,Regular,0.15168885699999998,Meat,80.6276,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.2154139283139
1574,NCY05,13.5,Low_Fat,0.054944247,Health and Hygiene,36.3874,OUT013,1987,High,Tier 3,Supermarket Type1,602.767230478893
1575,FDR45,10.8,Low_Fat,0.028943289,Snack Foods,239.6222,OUT046,1997,Small,Tier 1,Supermarket Type1,3859.7356209043437
1576,FDK57,10.195,Low_Fat,0.08041772400000001,Snack Foods,121.244,OUT049,1999,Medium,Tier 1,Supermarket Type1,2045.2810546524224
1578,FDV21,11.5,Low_Fat,0.0,Snack Foods,125.6704,OUT046,1997,Small,Tier 1,Supermarket Type1,2029.4005726596888
1579,FDD51,11.15,Low_Fat,0.119952711,Dairy,45.2744,OUT046,1997,Small,Tier 1,Supermarket Type1,611.8977504941895
1580,FDF33,7.97,Low_Fat,0.021535488,Seafood,109.6596,OUT046,1997,Small,Tier 1,Supermarket Type1,1902.5675103339236
1581,FDA38,5.44,Low_Fat,0.025479919,Dairy,238.5538,OUT046,1997,Small,Tier 1,Supermarket Type1,3799.9109021115883
1584,FDC60,12.35,Regular,0.113918065,Baking Goods,87.9514,OUT027,1985,Medium,Tier 3,Supermarket Type3,2834.827867735691
1586,DRH01,17.5,Low_Fat,0.097822555,Soft Drinks,175.4738,OUT013,1987,High,Tier 3,Supermarket Type1,2725.060497469208
1587,FDW08,12.1,Low_Fat,0.148381569,Fruits and Vegetables,104.928,OUT046,1997,Small,Tier 1,Supermarket Type1,1690.6476398426184
1588,FDF38,12.35,Regular,0.026230365,Canned,39.1138,OUT027,1985,Medium,Tier 3,Supermarket Type3,2103.3323367341845
1590,FDG34,11.5,Regular,0.037628842,Snack Foods,109.5254,OUT049,1999,Medium,Tier 1,Supermarket Type1,1870.3837963754058
1591,FDG47,12.35,Low_Fat,0.121893603,Starchy Foods,261.3252,OUT019,1985,Small,Tier 1,Grocery Store,2222.9754057313385
1592,NCF18,18.35,Low_Fat,0.088965771,Household,189.8504,OUT035,2004,Small,Tier 2,Supermarket Type1,3047.65860274262
1593,FDL39,12.35,Regular,0.110885027,Dairy,181.3318,OUT019,1985,Small,Tier 1,Grocery Store,914.4064583985983
1594,NCH55,16.35,Low_Fat,0.03466576,Household,125.902,OUT035,2004,Small,Tier 2,Supermarket Type1,2050.001582696659
1595,DRJ35,10.1,Low_Fat,0.0,Hard Drinks,60.7878,OUT049,1999,Medium,Tier 1,Supermarket Type1,1050.5609036203196
1596,FDS44,12.65,Regular,0.156014453,Fruits and Vegetables,238.9538,OUT035,2004,Small,Tier 2,Supermarket Type1,3953.942963985335
1597,DRE01,10.1,Low_Fat,0.16783611699999998,Soft Drinks,241.0512,OUT018,2009,Medium,Tier 3,Supermarket Type2,3504.887989267663
1598,FDY39,5.305,Regular,0.046989556,Meat,184.3608,OUT013,1987,High,Tier 3,Supermarket Type1,3054.1713536453453
1599,FDY32,7.605,Low_Fat,0.129767515,Fruits and Vegetables,161.821,OUT018,2009,Medium,Tier 3,Supermarket Type2,2361.586636200057
1600,FDR33,12.35,Low_Fat,0.02665921,Snack Foods,111.157,OUT027,1985,Medium,Tier 3,Supermarket Type3,3232.556659315309
1601,NCP50,17.35,Low_Fat,0.020591811,Others,81.0618,OUT049,1999,Medium,Tier 1,Supermarket Type1,1322.5813209980424
1602,FDZ47,20.7,Regular,0.07961949,Baking Goods,98.6042,OUT018,2009,Medium,Tier 3,Supermarket Type2,1234.2745932302723
1603,FDU57,8.27,Regular,0.08969341900000001,Snack Foods,152.2708,OUT049,1999,Medium,Tier 1,Supermarket Type1,2559.354620823832
1604,FDY44,14.15,Regular,0.02438425,Fruits and Vegetables,194.411,OUT013,1987,High,Tier 3,Supermarket Type1,3188.9913615883615
1605,DRH59,10.8,Low_Fat,0.058671483,Hard Drinks,73.83800000000002,OUT018,2009,Medium,Tier 3,Supermarket Type2,842.335005029774
1606,FDB03,12.35,Regular,0.156072361,Dairy,240.2538,OUT027,1985,Medium,Tier 3,Supermarket Type3,5192.36362271679
1609,FDY36,12.3,Low_Fat,0.009408748,Baking Goods,74.83800000000002,OUT035,2004,Small,Tier 2,Supermarket Type1,1309.1477301706982
1610,NCM55,15.6,Low_Fat,0.066713516,Others,184.2924,OUT035,2004,Small,Tier 2,Supermarket Type1,2972.8366460519574
1612,DRL60,8.52,Low_Fat,0.027036842,Soft Drinks,150.8682,OUT013,1987,High,Tier 3,Supermarket Type1,2411.2024555284106
1613,NCJ54,9.895,Low_Fat,0.060160503,Household,232.2642,OUT049,1999,Medium,Tier 1,Supermarket Type1,3801.9084822737896
1615,FDI07,12.35,Regular,0.0,Meat,199.0426,OUT013,1987,High,Tier 3,Supermarket Type1,3265.5590248604576
1619,FDE40,15.6,Regular,0.099125013,Dairy,63.0194,OUT035,2004,Small,Tier 2,Supermarket Type1,987.3592727784098
1620,FDE05,10.895,Regular,0.032447909,Frozen Foods,146.9102,OUT035,2004,Small,Tier 2,Supermarket Type1,2455.936674916129
1621,FDM13,12.35,Low_Fat,0.06286939700000001,Breakfast,132.8626,OUT027,1985,Medium,Tier 3,Supermarket Type3,3726.388207674184
1622,FDC34,12.35,Regular,0.17192249999999998,Snack Foods,156.7972,OUT027,1985,Medium,Tier 3,Supermarket Type3,3917.7233936308085
1623,NCI55,18.6,Low_Fat,0.01270511,Household,122.8414,OUT018,2009,Medium,Tier 3,Supermarket Type2,1610.7189792431482
1624,NCE43,12.5,Low_Fat,0.103863648,Household,168.8448,OUT018,2009,Medium,Tier 3,Supermarket Type2,2354.8126474177343
1625,FDW58,20.75,Low_Fat,0.007583861,Snack Foods,107.0622,OUT018,2009,Medium,Tier 3,Supermarket Type2,1388.031872847283
1628,FDR47,17.85,Low_Fat,0.08739586699999999,Breads,194.2794,OUT013,1987,High,Tier 3,Supermarket Type1,3092.882832592326
1629,FDM60,12.35,Regular,0.08429269,Baking Goods,40.6138,OUT019,1985,Small,Tier 1,Grocery Store,-1262.3796485790717
1630,NCF06,6.235,Low_Fat,0.020280634,Household,258.4962,OUT018,2009,Medium,Tier 3,Supermarket Type2,3871.273778139912
1631,NCN26,12.35,Low_Fat,0.0,Household,117.0808,OUT027,1985,Medium,Tier 3,Supermarket Type3,3295.369084883143
1632,FDQ59,9.8,Regular,0.056474207,Breads,85.6908,OUT049,1999,Medium,Tier 1,Supermarket Type1,1504.8969671559335
1633,FDF09,6.215,Low_Fat,0.012148905,Fruits and Vegetables,36.5848,OUT046,1997,Small,Tier 1,Supermarket Type1,677.8344287179643
1635,FDT44,16.6,Low_Fat,0.102986542,Fruits and Vegetables,117.9466,OUT046,1997,Small,Tier 1,Supermarket Type1,1890.320001346583
1638,NCF54,12.35,Low_Fat,0.047147628,Household,170.8422,OUT027,1985,Medium,Tier 3,Supermarket Type3,4143.903221139938
1642,FDP56,8.185,Low_Fat,0.046475348,Fruits and Vegetables,47.9692,OUT035,2004,Small,Tier 2,Supermarket Type1,939.1784520869842
1643,FDW44,9.5,Regular,0.035144569,Fruits and Vegetables,171.8448,OUT035,2004,Small,Tier 2,Supermarket Type1,2938.192656262743
1645,FDU43,19.35,Regular,0.058279823,Fruits and Vegetables,237.4564,OUT018,2009,Medium,Tier 3,Supermarket Type2,3541.705781170287
1647,NCX53,12.35,Low_Fat,0.0148655,Health and Hygiene,143.2154,OUT027,1985,Medium,Tier 3,Supermarket Type3,3785.6857053206113
1649,DRF15,18.35,Low_Fat,0.033265629,Dairy,152.334,OUT049,1999,Medium,Tier 1,Supermarket Type1,2437.380369236117
